"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"11/10/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($7.64)"
"11/10/2025","CASHBACK BONUS REDEMPTION CRDT","Discover Credit Card - via Direct Web Access","3549","Income","No","No","$16.27"
"11/10/2025","CUB FOODS INC","Capital One","Quicksilver","Groceries","No","No","($25.88)"
"11/10/2025","ETHAN GATES ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","Yes","$950"
"11/8/2025","DAIRY QUEEN","Capital One","Quicksilver","Fast Food & Convenience","No","No","($9.2)"
"11/7/2025","AMEX SEND ADD MONEY","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Groceries","No","No","($195)"
"11/7/2025","TESLA SERVICE US","Discover Credit Card - via Direct Web Access","3549","Auto Service","No","No","($950.1)"
"11/7/2025","MARY BRIGH PARKING","Capital One","Quicksilver","Parking","No","No","($8)"
"11/7/2025","MN MC MARY BRIGH PHARM","Capital One","Quicksilver","Pharmacy","No","No","($1.36)"
"11/6/2025","GGLPAY CHICKFILA ROCHESTER MN","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($16.18)"
"11/6/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"11/6/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"11/5/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($400)"
"11/5/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($25)"
"11/5/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$25"
"11/5/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$400"
"11/4/2025","GOOGLE GOOGLE ONE CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($9.99)"
"11/4/2025","DIRECTPAY FULL BALANCE","Discover Credit Card - via Direct Web Access","3549","Excluded","No","No","$245.48"
"11/4/2025","LILSON HEALTH TE BILL.COM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Income","No","No","$2000"
"11/4/2025","CASH AUTO REDEMPTION","Capital One","Quicksilver","Auto Service","No","No","$25"
"11/3/2025","TAQUITOS","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Food","No","No","($3.39)"
"11/3/2025","PWP PATREON ME PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Business","No","No","($10.74)"
"11/3/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($13.36)"
"11/3/2025","KWIK TRIP","Capital One","Quicksilver","Gas & Fuel","No","No","($15.61)"
"11/3/2025","PY PIZZA RANCH AMES","Capital One","Quicksilver","Restaurants/Dining","No","No","($18.62)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($5.27)"
"11/3/2025","MAVERIK","Capital One","Quicksilver","Fast Food & Convenience","No","No","($8.45)"
"11/2/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($9.18)"
"11/1/2025","GGLPAY COURTESY OF BONALASKA WI","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Restaurants/Dining","No","No","($6.37)"
"11/1/2025","PAYPAL DOORDASH CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($1)"
"11/1/2025","PAYPAL DOORDASH CA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Online Payment","No","No","($27.72)"
"11/1/2025","GGLPAY CHICKFILA AMES IA","American Express - Amex Account - via Direct Web Access","Blue Cash Everyday","Fast Food & Convenience","No","No","($12.1)"
"11/1/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.37)"
"11/1/2025","GOOGLE CLOUD G.CO HELPPAY CA","Discover Credit Card - via Direct Web Access","3549","Electronics & Software","No","No","($0.51)"
"10/31/2025","KWIK STAR","Capital One","Quicksilver","Fast Food & Convenience","No","No","($9.75)"
"10/30/2025","GOOGLE FI","Capital One","Quicksilver","Phone, Internet & Cable","No","No","($37)"
"10/30/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Growth Portfolio","Excluded","No","No","$500"
"10/30/2025","TRAILS TA TRAVEL CE","Capital One","Quicksilver","Gas & Fuel","No","No","($8.07)"
"10/30/2025","GOOGLE FI","Capital One","Quicksilver","Excluded","No","No","($74.84)"
"10/30/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($500)"
"10/29/2025","AUDIBLE AMZN.COM BILLNJ","Discover Credit Card - via Direct Web Access","3549","Books","No","No","($16.16)"
"10/29/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$25"
"10/29/2025","WM SUPERCENTER","Capital One","Quicksilver","Shopping","No","No","($55.47)"
"10/29/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($25)"
"10/27/2025","CHICKFILA MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($8.48)"
"10/27/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($22)"
"10/27/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($42)"
"10/27/2025","VENMO PAYMENT","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($12)"
"10/27/2025","PWP NYTIMES DIS PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Restaurants/Dining","No","No","($4.03)"
"10/26/2025","MCDONALDS ROCHESTER MN","Discover Credit Card - via Direct Web Access","3549","Fast Food & Convenience","No","No","($6.49)"
"10/22/2025","MONEY LINE RECEIVED EFT FUNDS RECEIVED WEB","Fidelity Investments","Index Portfolio","Excluded","No","No","$10"
"10/22/2025","PWP ABC PLANET PRIVACYCOM ETHAN GATES","Online Access - via Direct Web Access","Checking Account","Clothing","No","No","($10.81)"
"10/22/2025","FID BKG SVC LLC MONEYLINE","Online Access - via Direct Web Access","Checking Account","Excluded","No","No","($10)"
